video_url,caption,states_of_matter,source,complexity,majority_sa,majority_pc
"https://videophysics.s3.amazonaws.com/LaVIE/solid_fluid/A_blender_spins,_mixing_squeezed_juice_within_it._1.mp4","A blender spins, mixing squeezed juice within it.",solid_fluid,lavie,1,1,1
https://videophysics.s3.amazonaws.com/LaVIE/fluid_fluid/Honey_diffusing_into_warm_milk._1.mp4,Honey diffusing into warm milk.,fluid_fluid,lavie,1,1,1
https://videophysics.s3.amazonaws.com/LaVIE/solid_fluid/A_brave_diver_splashes_into_a_pool_from_a_great_height._1.mp4,A brave diver splashes into a pool from a great height.,solid_fluid,lavie,1,0,0
https://videophysics.s3.amazonaws.com/LaVIE/solid_fluid/A_sailboat_cuts_through_the_choppy_sea_waves._1.mp4,A sailboat cuts through the choppy sea waves.,solid_fluid,lavie,1,1,0
https://videophysics.s3.amazonaws.com/LaVIE/solid_fluid/A_wooden_spoon_stirs_the_hot_soup_in_the_pot._1.mp4,A wooden spoon stirs the hot soup in the pot.,solid_fluid,lavie,0,0,1
https://videophysics.s3.amazonaws.com/LaVIE/solid_solid/The_metal_pancake_turner_flips_the_cooking_pancake._1.mp4,The metal pancake turner flips the cooking pancake.,solid_solid,lavie,0,0,0
https://videophysics.s3.amazonaws.com/LaVIE/solid_fluid/A_sponge_rinses_dish_soap_under_running_water._1.mp4,A sponge rinses dish soap under running water.,solid_fluid,lavie,1,0,0
https://videophysics.s3.amazonaws.com/LaVIE/solid_solid/Bristles_of_paintbrush_sweeping_across_canvas._1.mp4,Bristles of paintbrush sweeping across canvas.,solid_solid,lavie,1,0,0
https://videophysics.s3.amazonaws.com/LaVIE/solid_fluid/A_whisk_mixes_an_egg_in_a_bowl._1.mp4,A whisk mixes an egg in a bowl.,solid_fluid,lavie,1,1,0
https://videophysics.s3.amazonaws.com/LaVIE/solid_fluid/Wine_pouring_from_a_bottle_into_a_glass._1.mp4,Wine pouring from a bottle into a glass.,solid_fluid,lavie,0,1,0
https://videophysics.s3.amazonaws.com/LaVIE/solid_solid/Refrigerator_door_closing_after_getting_a_soda._1.mp4,Refrigerator door closing after getting a soda.,solid_solid,lavie,0,0,0
https://videophysics.s3.amazonaws.com/LaVIE/solid_solid/Bottle_topples_off_the_table._1.mp4,Bottle topples off the table.,solid_solid,lavie,0,0,1
https://videophysics.s3.amazonaws.com/LaVIE/solid_fluid/Coffee_pouring_from_a_coffee_pot_into_a_mug._1.mp4,Coffee pouring from a coffee pot into a mug.,solid_fluid,lavie,0,1,0
"https://videophysics.s3.amazonaws.com/LaVIE/solid_solid/The_eraser_rubs_against_the_paper,_removing_pencil_marks._1.mp4","The eraser rubs against the paper, removing pencil marks.",solid_solid,lavie,1,0,0
https://videophysics.s3.amazonaws.com/LaVIE/solid_solid/Cork_being_twisted_out_of_a_bottle._1.mp4,Cork being twisted out of a bottle.,solid_solid,lavie,0,0,0
https://videophysics.s3.amazonaws.com/LaVIE/fluid_fluid/Paint_swirling_in_jar_of_water_1.mp4,Paint swirling in jar of water.,fluid_fluid,lavie,1,1,0
https://videophysics.s3.amazonaws.com/LaVIE/solid_solid/Leather_glove_catching_a_hard_baseball._1.mp4,Leather glove catching a hard baseball.,solid_solid,lavie,1,1,0
